prop_id,area_sqft
50997408,766.0
56627767,1262.0
56809211,2659.0
38858433,
56710935,500.0
56628921,1800.0
55379231,2000.0
45676013,900.0
46715929,950.0
50431354,1650.0
40878991,1450.0
56293599,1170.0
56365557,2100.0
52600707,1150.0
55505821,2000.0
35673587,1005.0
56396639,1400.0
56354143,2200.0
56440867,1000.0
56158347,1300.0
46863003,700.0
50585992,1000.0
29479993,1198.0
55614299,1000.0
56477915,1034.0
56372457,1180.0
51219220,981.0
56310719,3200.0
56280389,1875.0
56356455,1225.0
55735731,150.0
56227241,1700.0
56373661,1247.0
56277649,1350.0
50657866,1200.0
54407749,1255.0
56338875,900.0
56185987,1250.0
51819745,600.0
49712358,1500.0
56410817,850.0
56280753,2051.0
56213533,1115.0
52611961,1200.0
39063083,1428.0
55218351,1104.0
51472738,
56257291,1880.0
48786895,1800.0
56161495,1271.0
39158225,2000.0
11698295,
35026155,
56016903,1430.0
56110321,2165.0
56372801,1085.0
56404779,1540.0
53435723,1000.0
56181937,2200.0
51174830,1000.0
37570285,1050.0
15457019,1150.0
48778673,500.0
55266911,900.0
55166419,750.0
55213691,1000.0
56111413,1000.0
56025761,2500.0
56108467,1557.0
53262263,
29268623,
57056113,1100.0
52090305,1545.0
56224235,1400.0
51048358,1055.0
55658373,1241.0
55758697,1800.0
55041943,1200.0
56418003,1350.0
56102177,2000.0
56444217,1384.0
57013919,1925.0
54423187,210.0
55275697,1000.0
27584371,
19583497,1300.0
25150859,1700.0
56406285,1890.0
50718222,2000.0
54841061,1355.0
56508487,1800.0
50594254,4055.0
55827077,2100.0
56500157,1380.0
56952103,1151.0
54716583,1000.0
56974327,1754.0
54538553,2100.0
44560709,800.0
39498957,1100.0
40408101,1355.0
56335083,700.0
55461609,1250.0
56923991,1060.0
39587319,1840.0
56909645,2170.0
56869475,600.0
56866057,1695.0
56896335,1450.0
56937581,100.0
56922475,1100.0
56101653,950.0
49184155,1500.0
56886135,1000.0
56890949,1050.0
56864033,1562.0
56915543,1600.0
56277933,1200.0
51754127,1487.0
56157451,2850.0
56862705,1150.0
33859229,
54171415,600.0
26098887,200.0
56860067,180.0
55187271,1860.0
54996647,1600.0
56050959,1010.0
56628411,1050.0
56567949,1381.0
56664383,1200.0
37653981,1575.0
51649095,1400.0
56848977,1115.0
56583329,1500.0
56524349,1800.0
56623269,2350.0
56732279,1384.0
56700351,900.0
56786739,1015.0
56021945,1000.0
55932255,2090.0
55969321,1350.0
52675967,1600.0
55643965,1060.0
56596203,1100.0
56544473,2160.0
52298473,1700.0
55580917,600.0
55717069,950.0
